 Experience Orb	xp_orb	experience_orb
 Bottle o' Enchanting	xp_bottle	experience_bottle
 Eye of Ender	eye_of_ender_signal	eye_of_ender
 End Crystal	ender_crystal	end_crystal
 Firework Rocket	fireworks_rocket	firework_rocket
 Minecart with Command Block	commandblock_minecart	command_block_minecart
 Snow Golem	snowman	snow_golem
 Iron Golem	villager_golem	iron_golem
 Evoker Fangs	evocation_fangs	evoker_fangs
 Evoker	evocation_illager	evoker
 Vindicator	vindication_illager	vindicator
 Illusioner	illusion_illager	illusioner
